,GOOGL US Equity,FB US Equity,MSFT US Equity,UCG IM Equity,TMUS US Equity,BABA US Equity,9984 JP Equity,000660 KS Equity,KKR US Equity,ANTM US Equity,PYPL US Equity,IQV US Equity,LKQ US Equity,WLTW US Equity,AIR FP Equity,CTSH US Equity,BAC US Equity,LNC US Equity,AENA SM Equity,CMCSA US Equity,FLT US Equity,700 HK Equity,ADBE US Equity,FAF US Equity,HSY US Equity,3026 TT Equity,ZS US Equity,ZUO US Equity,2327 TT Equity,TRVG US Equity,2492 TT Equity,CBLK US Equity,SBH US Equity,BATS LN Equity,DF US Equity,TGT US Equity,AEO US Equity,DOCU US Equity,DLX US Equity,HIBB US Equity,PS US Equity,CDAY US Equity,6753 JP Equity,ENPH US Equity,EIF CN Equity,CM CN Equity,QD US Equity,NA CN Equity,AVLR US Equity,WDI GY Equity,CLX US Equity,DIGI MK Equity,BPY US Equity,CHD US Equity,FL US Equity,MO US Equity,ELLI US Equity,RMG LN Equity,WPG US Equity,K US Equity,DG US Equity,OZK US Equity,WAT US Equity,FLT AU Equity,SWCH US Equity,HFG GR Equity,SSYS US Equity,NPK US Equity,IWM US Equity,CAKE US Equity,RGR US Equity,AGN NA Equity,RLI US Equity,AAOI US Equity,001820 KS Equity,SSTK US Equity,NTRI US Equity,MAXIS MK Equity,CWB CN Equity,MYGN US Equity,AMN US Equity,HRL US Equity,4062 JP Equity,SPG US Equity,GSKY US Equity,SPY US Equity,QQQ US Equity
,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price
Dates,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
1/3/2011,302.468,#N/A N/A,27.98,52.281,26.14,#N/A N/A,2811,25300,14.5,57.95,#N/A N/A,#N/A N/A,11.565,93.1388,17.785,37.68,14.19,29.28,#N/A N/A,11.185,30.47,34.88,31.29,15.03,46.81,75.1,#N/A N/A,#N/A N/A,101.8,#N/A N/A,26.4,#N/A N/A,14.92,2463.5,8.2498,60.77,14.5,#N/A N/A,23.65,37.8,#N/A N/A,#N/A N/A,8370,#N/A N/A,17.55,78.33,#N/A N/A,34.26,#N/A N/A,10.57,61.57,2.508,#N/A N/A,17.3325,19.75,24.5,#N/A N/A,#N/A N/A,#N/A N/A,50.88,30.67,11.115,78.1,24.78,#N/A N/A,#N/A N/A,34.11,134.58,79.6,31.33,15.09,4.626,26.53,#N/A N/A,10850,#N/A N/A,21.37,5.32,28.36,22.23,6.3,12.795,2562,94.898,#N/A N/A,127.05,55.31
1/4/2011,301.352,#N/A N/A,28.0875,52.4791,27.84,#N/A N/A,2895,25600,14.45,58.33,#N/A N/A,#N/A N/A,11.59,91.5759,17.93,37.08,14.24,29.57,#N/A N/A,11.2213,29.98,35.58,31.51,14.94,46.37,75.31,#N/A N/A,#N/A N/A,102.51,#N/A N/A,26.73,#N/A N/A,14.67,2488,8.3056,59.99,14.4,#N/A N/A,23.64,36.62,#N/A N/A,#N/A N/A,8530,#N/A N/A,17.65,77.89,#N/A N/A,34.245,#N/A N/A,10.5,61.57,2.52,#N/A N/A,17.2775,19.24,24.39,#N/A N/A,#N/A N/A,#N/A N/A,51.29,30.54,10.935,77.63,24.84,#N/A N/A,#N/A N/A,33.6,130.2,78.422,31.38,15.11,4.692,26.225,#N/A N/A,11000,#N/A N/A,20.42,5.34,28.54,21.73,6.05,12.67,2673,92.087,#N/A N/A,126.98,55.265
1/5/2011,304.83,#N/A N/A,28,52.116,28.52,#N/A N/A,2891,25900,15.14,58.48,#N/A N/A,#N/A N/A,11.63,92.8474,18.39,38.095,14.5,29.71,#N/A N/A,11.37,30.4,35.82,32.22,14.99,46.62,74.69,#N/A N/A,#N/A N/A,99.69,#N/A N/A,26.13,#N/A N/A,14.48,2485,8.2498,58.94,14.47,#N/A N/A,23.34,36.82,#N/A N/A,#N/A N/A,8790,#N/A N/A,17.76,77.52,#N/A N/A,34.3,#N/A N/A,10.37,61.94,2.49,#N/A N/A,17.335,19.1,24.48,#N/A N/A,#N/A N/A,#N/A N/A,51.07,30.1,10.9775,77.79,24.52,#N/A N/A,#N/A N/A,34.09,129.25,79.34,31.14,15.18,4.805,26.21,#N/A N/A,10900,#N/A N/A,20.31,5.36,28.25,21.62,6.19,12.4625,2693,92.378,#N/A N/A,127.64,55.74
1/6/2011,307.047,#N/A N/A,28.82,51.3239,26.6,#N/A N/A,2927,26100,15.23,59.52,#N/A N/A,#N/A N/A,11.4763,93.1123,19.08,37.755,14.44,29.22,#N/A N/A,11.3795,30.03,36,32.27,14.95,47.93,75.41,#N/A N/A,#N/A N/A,100.04,#N/A N/A,26.67,#N/A N/A,14.13,2481,8.2684,54.93,15.05,#N/A N/A,23.23,35,#N/A N/A,#N/A N/A,8960,#N/A N/A,17.57,77.22,#N/A N/A,34.185,#N/A N/A,10.455,62.48,2.5,#N/A N/A,17.31,18.81,24.58,#N/A N/A,#N/A N/A,#N/A N/A,50.92,29.8,10.9925,76.05,24.72,#N/A N/A,#N/A N/A,34.49,134.63,78.97,31.1,14.93,4.865,26.34,#N/A N/A,10850,#N/A N/A,20.35,5.36,28.01,21.3,6.34,12.4425,2731,89.651,#N/A N/A,127.39,55.92
1/7/2011,308.519,#N/A N/A,28.6,50.4987,25.9,#N/A N/A,2902,26100,14.97,60.46,#N/A N/A,#N/A N/A,11.495,92.9534,19.15,37.545,14.25,29.25,#N/A N/A,11.3488,29.99,35.6,32.04,14.73,48.14,75.1,#N/A N/A,#N/A N/A,98.28,#N/A N/A,26.67,#N/A N/A,13.93,2426.5,9.1985,55.05,14.46,#N/A N/A,23.34,35.21,#N/A N/A,#N/A N/A,8930,#N/A N/A,17.5,77.24,#N/A N/A,34.305,#N/A N/A,10.55,62.33,2.51,#N/A N/A,17.1875,19.08,24.39,#N/A N/A,#N/A N/A,#N/A N/A,51,29.83,10.7625,75.21,24.56,#N/A N/A,#N/A N/A,35.33,132.05,78.52,31.02,14.94,4.922,26.125,#N/A N/A,11200,#N/A N/A,19.89,5.35,27.96,20.3,6.41,12.4225,2721,91.156,#N/A N/A,127.14,55.87
1/10/2011,307.403,#N/A N/A,28.22,48.6504,26.36,#N/A N/A,2902,25300,15.09,61.13,#N/A N/A,#N/A N/A,11.84,93.1918,19.16,37.6675,14.4,29.19,#N/A N/A,11.3588,30,35.72,32.96,14.92,48.31,74.18,#N/A N/A,#N/A N/A,97.93,#N/A N/A,26.26,#N/A N/A,13.83,2418.5,9.1148,55.22,14.37,#N/A N/A,24.27,35.08,#N/A N/A,#N/A N/A,8930,#N/A N/A,17.65,76.89,#N/A N/A,34.325,#N/A N/A,10.485,62.51,2.5,#N/A N/A,17.2875,19.3,24.24,#N/A N/A,#N/A N/A,#N/A N/A,51.05,30,10.75,74.68,24.59,#N/A N/A,#N/A N/A,35.61,131.24,78.97,31.26,15.01,4.85,26.255,#N/A N/A,11600,#N/A N/A,19.78,5.33,27.85,20.81,6.32,12.465,2721,91.711,#N/A N/A,126.98,56.08
1/11/2011,308.303,#N/A N/A,28.11,49.7726,25.9,#N/A N/A,2857,25400,15,61.87,#N/A N/A,#N/A N/A,11.915,92.768,20.07,37.755,14.69,29.25,#N/A N/A,11.3,31.14,35.94,32.98,14.98,48.36,74.8,#N/A N/A,#N/A N/A,100.4,#N/A N/A,26.46,#N/A N/A,13.74,2430,9.0218,55.19,14.16,#N/A N/A,24.08,34.75,#N/A N/A,#N/A N/A,8880,#N/A N/A,17.8,76.98,#N/A N/A,34.61,#N/A N/A,11.05,62.61,2.508,#N/A N/A,17.2725,18.91,24.07,#N/A N/A,#N/A N/A,#N/A N/A,50.92,29.59,10.7525,76.3,24.58,#N/A N/A,#N/A N/A,36.27,134.8,79.29,28.9,15.1,4.967,26.25,#N/A N/A,11250,#N/A N/A,19.79,5.34,28.42,21.39,6.39,12.635,2775,91.739,#N/A N/A,127.43,56.16
1/12/2011,308.734,#N/A N/A,28.55,54.5914,25.94,#N/A N/A,2855,26350,15.22,61.93,#N/A N/A,#N/A N/A,11.915,93.1388,20.495,37.62,14.99,29.54,#N/A N/A,11.2655,30.94,37.3,33.5725,14.98,48.79,75.31,#N/A N/A,#N/A N/A,100.04,#N/A N/A,26.94,#N/A N/A,13.99,2411,9.152,55.45,14.1,#N/A N/A,24.36,34.8,#N/A N/A,#N/A N/A,8920,#N/A N/A,17.91,77.33,#N/A N/A,34.54,#N/A N/A,10.8,63.12,2.508,#N/A N/A,17.6475,18.69,24.06,#N/A N/A,#N/A N/A,#N/A N/A,51.11,29.46,10.6125,76.75,24.53,#N/A N/A,#N/A N/A,36.92,134.87,79.97,29.41,15.74,5.068,26.155,#N/A N/A,11050,#N/A N/A,19.605,5.34,28.29,22.01,6.53,12.615,2818,91.87,#N/A N/A,128.58,56.555
